# BranchingRatios (pb) : Higgs (ggH & qqH) taken from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt8TeV
# BranchingRatios (pb) : Higgs (WH) taken from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageBR2 (may be old)
# On the left is the process name.
CellClass=TableCellMixed

Process     				 |      BranchingRatio       |  Comment
Data        				 |  1.000 	 +/- 0.00        |  Inclusive
SingleEl_Data				 |  1.000 	 +/- 0.00        |  Inclusive
SingleMu_Data				 |  1.000 	 +/- 0.00        |  Inclusive
STopS_T    					 |  1.000 	 +/- 0.00        |  Inclusive
STopS_Tbar 					 |  1.000 	 +/- 0.00        |  Inclusive
STopT_T    					 |  1.000 	 +/- 0.00        |  Inclusive
STopT_Tbar 					 |  1.000 	 +/- 0.00        |  Inclusive
STopTW_T   					 |  1.000 	 +/- 0.00        |  Inclusive
STopTW_Tbar					 |  1.000 	 +/- 0.00        |  Inclusive
TTbar     					 |  1.000 	 +/- 0.00        |  Inclusive
TTbar_JESUp					 |  1.000 	 +/- 0.00        |  Inclusive
TTbar_JESDown				 |  1.000 	 +/- 0.00        |  Inclusive
TTbarLJ   					 |  1.000 	 +/- 0.00        |  Inclusive
TTbarDil  					 |  1.000 	 +/- 0.00        |  Inclusive
Wbb       					 |  1.000 	 +/- 0.00        |  Inclusive
Wcc       					 |  1.000 	 +/- 0.00        |  Inclusive
WLight    					 |  1.000 	 +/- 0.00        |  Inclusive
WJets     					 |  1.000 	 +/- 0.00        |  Inclusive
WJets_JESUp					 |  1.000 	 +/- 0.00        |  Inclusive
WJets_JESDown				 |  1.000 	 +/- 0.00        |  Inclusive
WJets_matchingup			 |  1.000 	 +/- 0.00        |  Inclusive
WJets_matchingdown			 |  1.000 	 +/- 0.00        |  Inclusive
WJets_scaleup     			 |  1.000 	 +/- 0.00        |  Inclusive
WJets_scaledown     		 |  1.000 	 +/- 0.00        |  Inclusiev
W1Jets     					 |  1.000 	 +/- 0.00        |  Inclusive
W2Jets     					 |  1.000 	 +/- 0.00        |  Inclusive
W3Jets     					 |  1.000 	 +/- 0.00        |  Inclusive
W4Jets     					 |  1.000 	 +/- 0.00        |  Inclusive
WpJ     					 |  1.000 	 +/- 0.00        |  Inclusive
ZJets     					 |  1.000 	 +/- 0.00        |  Inclusive
DYJets                  	 |  1.000 	 +/- 0.00        |  Inclusive
ZpJ     		        	 |  1.000 	 +/- 0.00        |  Inclusive
QCD       		        	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt20_MuEnriched      	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_MuEnriched           	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_MuFULL               	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_ElEnriched           	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_ElFULL               	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt20to30_EMEnriched  	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt30to80_EMEnriched  	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt80to170_EMEnriched 	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt170to250_EMEnriched	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt250to350_EMEnriched	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt350_EMEnriched     	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt20to30_BCtoE       	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt30to80_BCtoE       	 |  1.000 	 +/- 0.00        |  Inclusive
QCD_Pt80to170_BCtoE      	 |  1.000 	 +/- 0.00        |  Inclusive
WW        					 |  1.000    +/- 0.00        |  Inclusive
WZ        					 |  1.000    +/- 0.00        |  Inclusive
ZZ        					 |  1.000    +/- 0.00        |  Inclusive
WH100						 |  0.0109	 +/- 0.0006213   |  WRONG
WH105						 |  0.024	 +/- 0.001344    |  WRONG
WH110						 |  0.0477	 +/- 0.0025758   |  WRONG
WH115						 |  0.086	 +/- 0.004472    |  WRONG
WH120						 |  0.141	 +/- 0.006768    |  WRONG
WH125						 |  0.187929 +/- 0.00        |  W->l(e,mu,tau)nu * H(125)->bb
WH125_HToBB                  |  0.187929 +/- 0.00        |  W->l(e,mu,tau)nu * H(125)->bb
WH_HToBB_M125_JESUp          |  0.187929 +/- 0.00        |  W->l(e,mu,tau)nu * H(125)->bb
WH_HToBB_M125_JESDown        |  0.187929 +/- 0.00        |  W->l(e,mu,tau)nu * H(125)->bb
WH125_HToZG                  |  0.001540 +/- 0.00        |  H->Zgamma
WH130						 |  0.303	 +/- 0.011211    |  WRONG
WH135						 |  0.4	     +/- 0.012       |  WRONG
WH140						 |  0.501	 +/- 0.008517    |  WRONG
WH145						 |  0.6	     +/- 0.0078      |  WRONG
WH150						 |  0.696	 +/- 0.006264    |  WRONG
WH160						 |  0.908	 +/- 0.001816    |  WRONG
WH170						 |  0.964	 +/- 0.000964    |  WRONG
WH180						 |  0.932	 +/- 0.00        |  WRONG
WH190						 |  0.786	 +/- 0.00        |  WRONG
WH200						 |  0.741	 +/- 0.00        |  WRONG
WH250						 |  0.701	 +/- 0.00        |  WRONG
WH300						 |  0.692	 +/- 0.00        |  WRONG
WH350						 |  0.676	 +/- 0.01352     |  WRONG
WH400						 |  0.582	 +/- 0.018042    |  WRONG
WH450						 |  0.551	 +/- 0.015979    |  WRONG
WH500						 |  0.546	 +/- 0.013104    |  WRONG
WH550						 |  0.55	 +/- 0.0132      |  WRONG
WH600						 |  0.558	 +/- 0.01395     |  WRONG
WH650						 |  0.568	 +/- 0.014768    |  WRONG
WH700						 |  0.577	 +/- 0.015002    |  WRONG
WH750						 |  0.586	 +/- 0.015236    |  WRONG
WH800						 |  0.594	 +/- 0.016038    |  WRONG
WH850						 |  0.602	 +/- 0.016254    |  WRONG
WH900						 |  0.609	 +/- 0.017052    |  WRONG
WH950						 |  0.616	 +/- 0.017248    |  WRONG
WH1000						 |  0.621	 +/- 0.018009    |  WRONG
ggH100						 |  0.00161  +/- 0.00        |  WRONG
ggH105						 |  0.00352  +/- 0.00        |  WRONG
ggH110						 |  0.00699  +/- 0.00        |  WRONG
ggH115						 |  0.0126   +/- 0.00        |  WRONG
ggH120						 |  0.0207   +/- 0.00        |  WRONG
ggH125						 |  0.0947   +/- 0.00        |  H->WW * W+->l(e,mu,tau)nu * W+->jj * 2
ggH130						 |  0.0443   +/- 0.00        |  WRONG
ggH135						 |  0.0586   +/- 0.00        |  WRONG
ggH140						 |  0.0734   +/- 0.00        |  WRONG
ggH145						 |  0.0879   +/- 0.00        |  WRONG
ggH150						 |  0.102    +/- 0.00        |  WRONG
ggH160						 |  0.133    +/- 0.00        |  WRONG
ggH170						 |  0.141    +/- 0.00        |  WRONG
ggH180						 |  0.137    +/- 0.00        |  WRONG
ggH190						 |  0.115    +/- 0.00        |  WRONG
ggH200						 |  0.108    +/- 0.00        |  WRONG
ggH250						 |  0.103    +/- 0.00        |  WRONG
ggH300						 |  0.101    +/- 0.00        |  WRONG
ggH350						 |  0.0990   +/- 0.00        |  WRONG
ggH400						 |  0.0852   +/- 0.00        |  WRONG
ggH450						 |  0.0808   +/- 0.00        |  WRONG
ggH500						 |  0.0800   +/- 0.00        |  WRONG
ggH550						 |  0.0806   +/- 0.00        |  WRONG
ggH600						 |  0.0818   +/- 0.00        |  WRONG
ggH650						 |  0.0832   +/- 0.00        |  WRONG
ggH700						 |  0.0846   +/- 0.00        |  WRONG
ggH750						 |  0.0859   +/- 0.00        |  WRONG
ggH800						 |  0.0872   +/- 0.00        |  WRONG
ggH850						 |  0.0883   +/- 0.00        |  WRONG
ggH900						 |  0.0894   +/- 0.00        |  WRONG
ggH950						 |  0.0903   +/- 0.00        |  WRONG
ggH1000						 |  0.0912   +/- 0.00        |  WRONG
qqH100						 |  0.00161  +/- 0.00        |  WRONG
qqH105						 |  0.00352  +/- 0.00        |  WRONG
qqH110						 |  0.00699  +/- 0.00        |  WRONG
qqH115						 |  0.0126   +/- 0.00        |  WRONG
