# This table holds the number of events present in the initial MC samples.
# On the left is just the process name.
CellClass=TableCellVal

Process     			     |       Events_MC         |    Events_PATtuple  
Data        			     |  1.000  	     +/- 0.00  |  1.000 	    +/- 0.00
SingleEl_A                   |  16473964.0   +/- 0.00  |  10318226.0    +/- 0.00
SingleEl_B_p1                |  67946476.0   +/- 0.00  |  27179341.0    +/- 0.00
SingleEl_B_p2                |  67946476.0   +/- 0.00  |  18945171.0    +/- 0.00
SingleEl_C_v1                |  7466918.00   +/- 0.00  |  7037209.00    +/- 0.00
SingleEl_C_v2_p1             |  94557900.0   +/- 0.00  |  40114684.0    +/- 0.00
SingleEl_C_v2_p2             |  94557900.0   +/- 0.00  |  23947578.0    +/- 0.00
SingleEl_Data                |  1.000        +/- 0.00  |  1.000 	    +/- 0.00
SingleMu_A                   |  16939983.0   +/- 0.00  |  8003401.00    +/- 0.00
SingleMu_B_p1                |  59538958.0   +/- 0.00  |  23608649.0    +/- 0.00
SingleMu_B_p2                |  59538958.0   +/- 0.00  |  29248722.0    +/- 0.00
SingleMu_C_v1                |  6076746.00   +/- 0.00  |  5718137.00    +/- 0.00
SingleMu_C_v2_p1_p1          |  81770645.0   +/- 0.00  |  16043588.0    +/- 0.00
SingleMu_C_v2_p1_p2          |  81770645.0   +/- 0.00  |  17972216.0    +/- 0.00
SingleMu_C_v2_p2             |  81770645.0   +/- 0.00  |  20643249.0    +/- 0.00
SingleMu_Data                |	1.000        +/- 0.00  |  1.000 	    +/- 0.00
STopS_T    				     |  259961.0     +/- 0.00  |  259960.0      +/- 0.00
STopS_Tbar 				     |  139974.0     +/- 0.00  |  139974.0      +/- 0.00
STopT_T    				     |  3758227.0    +/- 0.00  |  3758221.0     +/- 0.00
STopT_Tbar 				     |  1935072.0    +/- 0.00  |  1935066.0     +/- 0.00
STopTW_T   				     |  497658.0     +/- 0.00  |  497657.0      +/- 0.00
STopTW_Tbar				     |  493460.0     +/- 0.00  |  493458.0      +/- 0.00
TTbar     				     |  6923750.0    +/- 0.00  |  6893735.0     +/- 0.00
TTbar_JESUp				     |  6923750.0    +/- 0.00  |  6893735.0     +/- 0.00
TTbar_JESDown 			     |  6923750.0    +/- 0.00  |  6893735.0     +/- 0.00
TTbarLJ   				     |  0.00   	     +/- 0.00  |  0.00	        +/- 0.00
TTbarDil  				     |  0.00   	     +/- 0.00  |  0.00	        +/- 0.00 
Wbb       				     |  0.00   	     +/- 0.00  |  0.00	        +/- 0.00
Wcc       				     |  0.00   	     +/- 0.00  |  0.00	        +/- 0.00
WLight    				     |  0.00   	     +/- 0.00  |  0.00	        +/- 0.00
WpJ     				     |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00 
WJets                        |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_JESUp                  |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_JESDown                |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_matchingup             |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_matchingdown           |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_scaleup                |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_scaledown              |  76102995.0   +/- 0.00  |  69122011.0    +/- 0.00
WJets_part1				     |  18393090.0   +/- 0.00  |  18353019.0    +/- 0.00
WJets_part2				     |  57709905.0   +/- 0.00  |  50768992.0    +/- 0.00
W1Jets                       |  23141598.0   +/- 0.00  |  19871598.0    +/- 0.00
W2Jets                       |  34044921.0   +/- 0.00  |  33004921.0    +/- 0.00
W3Jets                       |  15539503.0   +/- 0.00  |  15059503.0    +/- 0.00
W4Jets                       |  13382803.0   +/- 0.00  |  12842803.0    +/- 0.00
ZJets     				     |  30459503.0   +/- 0.00  |  30209426.0    +/- 0.00
ZpJ     				     |  30459503.0   +/- 0.00  |  30209426.0    +/- 0.00
DYJets     				     |  30459503.0   +/- 0.00  |  30209426.0    +/- 0.00
QCD       				     |  1.000        +/- 0.00  |  1.000         +/- 0.00
QCD_Pt20_MuEnriched          |  1.000        +/- 0.00  |  1.000         +/- 0.00
QCD_MuEnriched               |  1.000        +/- 0.00  |  1.000         +/- 0.00
QCD_MuFULL                   |  1.000        +/- 0.00  |  1.000         +/- 0.00
QCD_ElEnriched               |  130500.      +/- 0.00  |  130500.       +/- 0.00
QCD_ElFULL                   |  1.000        +/- 0.00  |  1.000         +/- 0.00
QCD_Pt20to30_EMEnriched      |  35040695     +/- 0.00  |  3504052       +/- 0.00
QCD_Pt30to80_EMEnriched      |  33088888     +/- 0.00  |  3308873       +/- 0.00
QCD_Pt80to170_EMEnriched     |  34542763     +/- 0.00  |  3447258       +/- 0.00
QCD_Pt170to250_EMEnriched    |  31697066     +/- 0.00  |  3169702       +/- 0.00
QCD_Pt250to350_EMEnriched    |  34611322     +/- 0.00  |  3461112       +/- 0.00
QCD_Pt350_EMEnriched         |  34080562     +/- 0.00  |  3408046       +/- 0.00
WW        				     |  10000431.0   +/- 0.00  |  9450414.0     +/- 0.00
WZ        				     |  10000283.0   +/- 0.00  |  10000267.0    +/- 0.00
ZZ        				     |  9799908.0    +/- 0.00  |  9702850.0     +/- 0.00
WH100     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
WH105     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
WH110     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
WH115     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
WH120     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
WH125                        |  1000000.0    +/- 0.00  |  999998.0      +/- 0.00
WH125_HToBB                  |  1000000.0    +/- 0.00  |  999998.0      +/- 0.00
WH_HToBB_M125_JESUp          |  1000000.0    +/- 0.00  |  999998.0      +/- 0.00
WH_HToBB_M125_JESDown        |  1000000.0    +/- 0.00  |  999998.0      +/- 0.00
WH125_HToZG				     |  1000243.0    +/- 0.00  |  1000243.0     +/- 0.00
WH130     				     |  0.00  	     +/- 0.00  |  0.00 	        +/- 0.00
