
 EventProbs | MatrixElementType | PhysicsProcessType |    tmeParam |                  MaxEventProb |                 MeanEventProb |    MedianEventProb 
          0 |                WW |                 WW |     0 +/- 0 |  7.819953e-07 +/- 0.006416942 | 4.478285e-09 +/- 9.720642e-06 | 2.391546e-10 +/- 0 
          1 |                WZ |                 WZ |     0 +/- 0 |  7.640095e-08 +/- 0.006219349 | 2.967587e-10 +/- 8.629397e-06 | 4.906673e-12 +/- 0 
          2 |              WZbb |                 WZ |     0 +/- 0 |  7.743198e-08 +/- 0.009021043 | 3.394647e-10 +/- 1.247041e-05 | 6.567607e-12 +/- 0 
          3 |               WLg |              WJets |     0 +/- 0 | 0.0001938386 +/- 0.0005559995 | 1.124578e-06 +/- 9.116343e-06 | 1.300328e-07 +/- 0 
          4 |               WLg |              WJets |     0 +/- 0 |  4.231735e-05 +/- 0.001675434 | 3.522228e-07 +/- 8.794365e-06 | 4.422508e-08 +/- 0 
          5 |               Wgg |              WJets |     0 +/- 0 |  0.0001268688 +/- 0.001890234 | 5.372542e-07 +/- 7.983288e-06 | 3.309296e-08 +/- 0 
          6 |               WLL |              WJets |     0 +/- 0 | 5.851085e-06 +/- 0.0005302307 | 4.278642e-08 +/- 7.532599e-06 | 6.100224e-09 +/- 0 
          7 |               WLb |              WJets | 172.5 +/- 0 |  9.279982e-07 +/- 0.009765282 | 4.570092e-09 +/- 1.006993e-05 | 4.925576e-10 +/- 0 
          8 |               Wbb |              WJets |     0 +/- 0 |  3.737306e-07 +/- 0.005721496 | 3.412428e-09 +/- 7.677563e-06 | 3.196485e-10 +/- 0 
          9 |            ZLight |              ZJets |     0 +/- 0 |   6.765438e-06 +/- 0.01249524 | 7.571615e-08 +/- 5.002138e-05 | 2.014442e-08 +/- 0 
         10 |             STopT |            STopT_T | 172.5 +/- 0 |  1.080755e-06 +/- 0.007142552 | 5.561144e-09 +/- 2.112516e-05 | 4.289709e-10 +/- 0 
         10 |             STopT |         STopT_Tbar | 172.5 +/- 0 |  3.863697e-07 +/- 0.009917325 | 2.947556e-09 +/- 2.887322e-05 | 2.239826e-10 +/- 0 
         11 |             STopS |            STopS_T | 172.5 +/- 0 |    1.5464e-08 +/- 0.009877172 | 3.346865e-10 +/- 7.010831e-05 | 4.970496e-11 +/- 0 
         11 |             STopS |         STopS_Tbar | 172.5 +/- 0 |  1.340438e-08 +/- 0.008848001 | 1.753939e-10 +/- 9.402285e-05 | 3.076242e-11 +/- 0 
         12 |               QCD |         QCD_ElFULL |     0 +/- 0 |     0.3190735 +/- 0.006974173 |  0.001470852 +/- 8.683943e-06 |  1.04846e-05 +/- 0 
         12 |               QCD |         QCD_MuFULL |     0 +/- 0 |      1.054128 +/- 0.007607975 |  0.003589481 +/- 2.084871e-05 | 1.244808e-05 +/- 0 
         19 |               HWW |             ggH125 |   125 +/- 0 |   6.625523e-10 +/- 0.00913204 | 5.296594e-12 +/- 9.963569e-05 | 3.016789e-13 +/- 0 
         54 |                WH |              WH125 |   125 +/- 0 |  2.085422e-10 +/- 0.006971693 | 3.676811e-13 +/- 2.859221e-05 | 1.481892e-15 +/- 0 


