# On the left is the process name.
CellClass=TableCellMixed

Process 					|	LeptonCat	|	ScaleFactor					|	Comment
Data        				|  	both		|	1.000    +/- 1.000 			| 
SingleEl_Data				|  	both		|	1.000    +/- 1.000 			| 
SingleMu_Data				|  	both		|	1.000    +/- 1.000 			| 
STopS_T    					|  	both		|	1.000    +/- 1.000 			|
STopS_Tbar 					|  	both		|	1.000    +/- 1.000 			|
STopT_T    					|  	both		|	1.000    +/- 1.000 			|
STopT_Tbar 					|  	both		|	1.000    +/- 1.000 			|
STopTW_T   					|  	both		|	1.000    +/- 1.000 			|
STopTW_Tbar					|  	both		|	1.000    +/- 1.000 			|
TTbar     					|  	both		|	1.000    +/- 1.000 			|
TTbarLJ   					|  	both		|	1.000    +/- 1.000 			| 
TTbarDil  					|  	both		|	1.000    +/- 1.000 			|  
Wbb       					|  	both		|	1.000    +/- 1.000 			| 
Wcc       					|  	both		|	1.000    +/- 1.000 			| 
WLight    					|  	both		|	1.000    +/- 1.000 			| 
WpJ     					|   both		| 	1.000    +/- 1.000 			|
#WJets     					|   both 		|	1.000    +/- 1.000 			| 	Standard WJets scale factor
#WJets               		|  	electron 	|	0.942684 +/- 0.00440136		|	Scale factor for QCD with QCDWeight_electron_control6_rebinMET20_rebinEta2.root and QCD_ElFULL
#WJets                       |	electron 	|	0.951146 +/- 0.00366689		|	Scale factor for QCD with QCDWeight_electron_control6_rebinMET20_rebinEta2.root and QCD_ElFULL before QCD PFIso upper cut
WJets                       |	electron 	|	0.962648 +/- 0.00376982		|	Scale factor for QCD with QCDWeight_electron_control6_rebinMET20_rebinEta2.root and QCD_ElFULL
#WJets     					|   electron 	| 	1.0286   +/- 0.0024 		| 	Scale factor for WJets with Ricardo's QCDWeight_electron.root file
WJets                       | 	muon 		|	0.974506 +/- 0.00357113  	| 	Scale factor for QCD with QCD_MuFULL
W1Jets                      |   both        |   1.000    +/- 1.000          |
W2Jets                      |   both        |   1.000    +/- 1.000          |
W3Jets                      |   both        |   1.000    +/- 1.000          |
W4Jets                      |   both        |   1.000    +/- 1.000          |
ZJets     					|   both 		|	1.000    +/- 1.000 			|
DYJets              		|   both 		|	1.000    +/- 1.000 			|
ZpJ     					|   both 		|	1.000    +/- 1.000 			|
QCD       					|   both 		|	1.000    +/- 1.000 			|
QCD_Pt20_MuEnriched     	|   both 		|	1.000    +/- 1.000 			|
QCD_MuEnriched          	|   muon 		|	1.000    +/- 1.000 			|
#QCD_MuFULL              	|  	muon 		|	1.000    +/- 1.000 			| 	Standard QCD_MuFULL Scale factor
QCD_MuFULL                  |   muon		| 	4.03748  +/- 0.109165
| 	Scale factor for QCD_MuFULL derived in ~/nobackup/Summer12ME8TeV/2014_05_29_ValidationPlots_PU_CSV_TTbar/signal/QCD_MuFULL
#QCD_ElEnriched          	|   electron 	| 	1.000    +/- 0.00 			|	Standard QCD Scale factor
QCD_ElEnriched         		|   electron 	| 	53.2876  +/- 1.58441 		|	Scale factor for QCD_ElEnriched with QCDWeight_electron_control6_rebinMET20_rebinEta2.root file
#QCD_ElFULL               	|   electron 	| 	1.000    +/- 0.00 			| 	Standard QCD Scale factor
#QCD_ElFULL              	|  	electron 	| 	0.571779 +/- 0.0159207 		| 	scale factor with 18937.6012264 pb-1
#QCD_ElFULL                  |   electron 	| 	0.526848 +/- 0.00813405 	| 	Scale factor for QCD_ElFULL with QCDWeight_electron_control6_rebinMET20_rebinEta2.root file before PFIso uper limit
