
 TF_Par_G_00_24 |                  Parameters 
           Par0 |          1.88161 +/- 1.7144 
           Par1 |    -0.0689057 +/- 0.0188687 
           Par2 |         2.10121 +/- 1.17309 
           Par3 |       0.103756 +/- 0.015519 
           Par4 |   1.55999e-06 +/- 0.0360191 
           Par5 | 0.000697237 +/- 0.000450382 
           Par6 |        -18.4123 +/- 18.1641 
           Par7 |   -0.00609239 +/- 0.0820273 
           Par8 |         30.6298 +/- 12.8276 
           Par9 |     0.0899632 +/- 0.0394458 


