
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |         5.81147 +/- 1.07509 
             Par1 |    -0.0183196 +/- 0.0131246 
             Par2 |         3.66611 +/- 1.18676 
             Par3 |      0.105186 +/- 0.0118004 
             Par4 |   0.00836704 +/- 0.00928649 
             Par5 | 1.13375e-05 +/- 4.25418e-05 
             Par6 |        -18.1368 +/- 49.6825 
             Par7 |        0.39799 +/- 0.201102 
             Par8 |         57.8523 +/- 18.8645 
             Par9 |   1.47319e-07 +/- 0.0572908 


