
 TF_Par_C_00_24 |                  Parameters 
           Par0 |       -0.401508 +/- 2.20657 
           Par1 |     0.0255402 +/- 0.0373937 
           Par2 |    3.98487e-08 +/- 0.571014 
           Par3 |      0.163286 +/- 0.0144359 
           Par4 |     0.0132814 +/- 0.0122653 
           Par5 | 6.20732e-11 +/- 0.000363383 
           Par6 |        -13.8362 +/- 63.9117 
           Par7 |      0.0749663 +/- 0.685621 
           Par8 |         57.0798 +/- 24.4999 
           Par9 |     1.83883e-05 +/- 0.24706 


