
 TF_Par_C_13_24 |                 Parameters 
           Par0 |        48.1728 +/- 1.14159 
           Par1 |   -0.0565727 +/- 0.0121216 
           Par2 |        1.09356 +/- 0.47284 
           Par3 | 4.90912e-08 +/- 0.00572381 
           Par4 |    5.08183e-08 +/- 0.48013 
           Par5 |    0.0181516 +/- 0.0148091 
           Par6 |         12.152 +/- 5.02854 
           Par7 |    -0.109475 +/- 0.0478415 
           Par8 |    4.02165e-05 +/- 1.28146 
           Par9 |     0.127178 +/- 0.0121596 


