
 TF_Par_G_13_24 |                 Parameters 
           Par0 |         10.532 +/- 4.06322 
           Par1 |    -0.124704 +/- 0.0221094 
           Par2 |        5.20606 +/- 3.11209 
           Par3 |     0.106023 +/- 0.0166527 
           Par4 |      0.121468 +/- 0.131358 
           Par5 | 0.00010922 +/- 0.000537744 
           Par6 |         123.64 +/- 11.6165 
           Par7 |    -0.803917 +/- 0.0423408 
           Par8 |        14.7264 +/- 4.34424 
           Par9 |  6.79805e-12 +/- 0.0136955 


