
 TF_Par_UDS_00_13 |                Parameters 
             Par0 |      -4.55789 +/- 5.81592 
             Par1 |     0.123444 +/- 0.073089 
             Par2 |         17.445 +/- 3.0381 
             Par3 |   0.0435908 +/- 0.0319726 
             Par4 |       9.06031 +/- 3.38181 
             Par5 | 1.23996e-08 +/- 0.0144464 
             Par6 |        4.57366 +/- 0.8729 
             Par7 |  -0.0558309 +/- 0.0156305 
             Par8 |     0.591357 +/- 0.890788 
             Par9 |    0.112789 +/- 0.0144997 


