
 TF_Par_UDS_00_13 |                 Parameters 
             Par0 |       2.24479 +/- 0.587662 
             Par1 |   -0.0260378 +/- 0.0106632 
             Par2 |       2.56749 +/- 0.508232 
             Par3 |   0.0925623 +/- 0.00895139 
             Par4 |    0.0343561 +/- 0.0109013 
             Par5 | 5.75682e-08 +/- 0.00061648 
             Par6 |        11.1868 +/- 8.52866 
             Par7 |     -0.0838946 +/- 0.11093 
             Par8 |        15.7693 +/- 3.70998 
             Par9 |     0.128406 +/- 0.0537217 


