
 TF_Par_B_00_13 |                  Parameters 
           Par0 |        0.86483 +/- 0.185976 
           Par1 |   -0.0492341 +/- 0.00235653 
           Par2 |        3.40759 +/- 0.162962 
           Par3 |    0.0940624 +/- 0.00212626 
           Par4 |   0.00546185 +/- 0.00360545 
           Par5 | 0.000522632 +/- 5.02509e-05 
           Par6 |        -2.18162 +/- 2.04704 
           Par7 |     -0.208191 +/- 0.0140489 
           Par8 |         33.1009 +/- 1.14978 
           Par9 |    0.0685561 +/- 0.00578342 


