
 TF_Par_B_00_24 |                 Parameters 
           Par0 |         1.3456 +/- 0.14433 
           Par1 |  -0.0556441 +/- 0.00161622 
           Par2 |        3.2527 +/- 0.122118 
           Par3 |    0.103522 +/- 0.00147138 
           Par4 | 3.75138e-11 +/- 0.00085578 
           Par5 | 0.00040084 +/- 2.12678e-05 
           Par6 |        2.33683 +/- 1.77686 
           Par7 |   -0.208203 +/- 0.00974373 
           Par8 |        38.0267 +/- 1.18513 
           Par9 |   0.0974819 +/- 0.00419184 


