
 TF_Par_B_00_13 |                 Parameters 
           Par0 |      0.508801 +/- 0.239648 
           Par1 |  -0.0452004 +/- 0.00350704 
           Par2 |       1.87282 +/- 0.200665 
           Par3 |    0.104633 +/- 0.00314969 
           Par4 | 3.74038e-10 +/- 0.00220161 
           Par5 | 0.00095276 +/- 7.51299e-05 
           Par6 |       -0.294139 +/- 1.9493 
           Par7 |    -0.181063 +/- 0.0169852 
           Par8 |        24.1191 +/- 1.26634 
           Par9 |   0.0742367 +/- 0.00794856 


