
 TF_Par_B_00_24 |                  Parameters 
           Par0 |        1.58336 +/- 0.198606 
           Par1 |   -0.0635345 +/- 0.00263103 
           Par2 |        1.20669 +/- 0.180948 
           Par3 |       0.1233 +/- 0.00259715 
           Par4 |   0.00685105 +/- 0.00398473 
           Par5 | 0.000399843 +/- 6.42186e-05 
           Par6 |       -0.916214 +/- 2.42163 
           Par7 |     -0.168052 +/- 0.0148448 
           Par8 |         27.4089 +/- 1.50018 
           Par9 |     0.137839 +/- 0.00915812 


