
 TF_Par_C_00_13 |                  Parameters 
           Par0 |        1.41614 +/- 0.989372 
           Par1 |    -0.0224599 +/- 0.0131398 
           Par2 |       0.838936 +/- 0.934266 
           Par3 |      0.104063 +/- 0.0126254 
           Par4 |      0.165867 +/- 0.0716093 
           Par5 | 7.47451e-11 +/- 0.000163071 
           Par6 |         12.3718 +/- 4.57603 
           Par7 |     -0.165171 +/- 0.0546718 
           Par8 |         2.19294 +/- 2.06707 
           Par9 |      0.210216 +/- 0.0337054 


