
 TF_Par_UDS_00_13 |                Parameters 
             Par0 |       12.3235 +/- 1.98321 
             Par1 |   -0.130962 +/- 0.0221284 
             Par2 |       6.91531 +/- 1.22769 
             Par3 |    0.177815 +/- 0.0164005 
             Par4 |       6.23223 +/- 2.14165 
             Par5 |    0.041286 +/- 0.0249353 
             Par6 |      2.63925 +/- 0.333807 
             Par7 | -0.0174021 +/- 0.00366416 
             Par8 |      2.49209 +/- 0.368392 
             Par9 |  0.0901506 +/- 0.00381855 


