
 TF_Par_UDS_13_24 |                  Parameters 
             Par0 |        7.79061 +/- 0.556147 
             Par1 |   -0.0192556 +/- 0.00252664 
             Par2 |        9.97118 +/- 0.471216 
             Par3 |    0.0576607 +/- 0.00205296 
             Par4 |      0.139341 +/- 0.0153482 
             Par5 | 3.42437e-12 +/- 2.31051e-06 
             Par6 |         36.5589 +/- 2.68797 
             Par7 |     -0.188294 +/- 0.0126287 
             Par8 |         15.5083 +/- 1.21904 
             Par9 |     0.132984 +/- 0.00567848 


