
 TF_Par_B_00_24 |                  Parameters 
           Par0 |       0.860554 +/- 0.176092 
           Par1 |    -0.0380485 +/- 0.0020047 
           Par2 |         1.70727 +/- 0.19222 
           Par3 |     0.116259 +/- 0.00244966 
           Par4 |     0.031587 +/- 0.00398486 
           Par5 | 0.000380748 +/- 4.72767e-05 
           Par6 |         7.20951 +/- 1.74304 
           Par7 |    -0.0611445 +/- 0.0112122 
           Par8 |         27.7621 +/- 1.01488 
           Par9 |     0.187587 +/- 0.00793923 


