
 TF_Par_C_13_24 |                  Parameters 
           Par0 |         4.27156 +/- 1.85471 
           Par1 |    -0.0633536 +/- 0.0101457 
           Par2 |         6.06117 +/- 1.73905 
           Par3 |       0.100264 +/- 0.010084 
           Par4 |      0.039017 +/- 0.0177615 
           Par5 | 3.47445e-05 +/- 7.98662e-05 
           Par6 |         60.2627 +/- 18.3919 
           Par7 |      -0.22394 +/- 0.0801497 
           Par8 |         33.7413 +/- 10.1924 
           Par9 |       0.20474 +/- 0.0532081 


