
 TF_Par_G_00_24 |                  Parameters 
           Par0 |        3.25359 +/- 0.502619 
           Par1 |   -0.0851016 +/- 0.00588013 
           Par2 |           1.35497 +/- 0.458 
           Par3 |     0.122084 +/- 0.00486945 
           Par4 |    0.0533422 +/- 0.00520919 
           Par5 | 1.25822e-11 +/- 1.32035e-05 
           Par6 |        -25.6284 +/- 10.1445 
           Par7 |      0.558762 +/- 0.0838919 
           Par8 |         45.0519 +/- 5.80377 
           Par9 |     0.0566222 +/- 0.0506557 


