
 TF_Par_T_13_24 |                  Parameters 
           Par0 |         38.3076 +/- 7.71807 
           Par1 |      -0.32199 +/- 0.0488942 
           Par2 |         15.0478 +/- 10.0053 
           Par3 |     0.0981887 +/- 0.0544441 
           Par4 |    6.65862e-08 +/- 0.343992 
           Par5 | 0.000753698 +/- 0.000382697 
           Par6 |          191.155 +/- 54.949 
           Par7 |       -1.07063 +/- 0.209676 
           Par8 |         68.6866 +/- 12.0246 
           Par9 |   2.53569e-08 +/- 0.0731273 


