
 TF_Par_UDS_00_13 |                  Parameters 
             Par0 |       0.490057 +/- 0.306749 
             Par1 |   -0.0146662 +/- 0.00367933 
             Par2 |         2.94368 +/- 0.28311 
             Par3 |    0.0907621 +/- 0.00349298 
             Par4 |    0.0385381 +/- 0.00530865 
             Par5 | 5.82736e-05 +/- 6.17428e-05 
             Par6 |         15.9261 +/- 4.37736 
             Par7 |    -0.0421313 +/- 0.0370085 
             Par8 |         31.6669 +/- 2.01789 
             Par9 |      0.110944 +/- 0.0190896 


