
 TF_Par_UDS_13_24 |                 Parameters 
             Par0 |       8.10156 +/- 0.900411 
             Par1 |   -0.0490874 +/- 0.0048066 
             Par2 |       8.76732 +/- 0.803998 
             Par3 |   0.0817015 +/- 0.00445028 
             Par4 |   0.0320704 +/- 0.00390234 
             Par5 | 2.7744e-11 +/- 4.95602e-06 
             Par6 |        73.4008 +/- 10.2724 
             Par7 |     -0.15148 +/- 0.0508051 
             Par8 |        29.9142 +/- 6.48262 
             Par9 |     0.276332 +/- 0.0331871 


