
 TF_Par_C_00_13 |                  Parameters 
           Par0 |       -0.724387 +/- 1.19735 
           Par1 |    -0.0121099 +/- 0.0167306 
           Par2 |         3.89438 +/- 1.20834 
           Par3 |     0.0809935 +/- 0.0174549 
           Par4 |     0.0130298 +/- 0.0191249 
           Par5 | 0.000257444 +/- 0.000316011 
           Par6 |        -15.6759 +/- 24.5496 
           Par7 |     -0.0395546 +/- 0.148293 
           Par8 |         41.9223 +/- 9.76665 
           Par9 |   4.43702e-08 +/- 0.0448471 


