
 TF_Par_UDS_00_13 |                  Parameters 
             Par0 |       0.512154 +/- 0.722414 
             Par1 |   -0.00617067 +/- 0.0107186 
             Par2 |        2.99069 +/- 0.557846 
             Par3 |     0.101989 +/- 0.00763107 
             Par4 |    0.0187543 +/- 0.00665628 
             Par5 | 3.58221e-09 +/- 9.55012e-05 
             Par6 |        -3.66186 +/- 15.4227 
             Par7 |    -0.00400058 +/- 0.162928 
             Par8 |         40.3364 +/- 5.47698 
             Par9 |   1.78692e-05 +/- 0.0382195 


