
 TF_Par_B_00_13 |                  Parameters 
           Par0 |        -2.95535 +/- 1.97171 
           Par1 |     0.0378752 +/- 0.0287249 
           Par2 |        0.731098 +/- 1.22452 
           Par3 |     0.0509711 +/- 0.0214684 
           Par4 |       0.558884 +/- 0.165027 
           Par5 | 9.57453e-11 +/- 0.000763256 
           Par6 |         15.2604 +/- 3.74265 
           Par7 |     -0.304276 +/- 0.0577348 
           Par8 |         2.24262 +/- 2.06113 
           Par9 |       0.16394 +/- 0.0309428 


