
 TF_Par_B_00_24 |                 Parameters 
           Par0 |      -0.107039 +/- 1.46611 
           Par1 |  -0.00652576 +/- 0.0179124 
           Par2 |         1.5925 +/- 1.17928 
           Par3 |    0.0386681 +/- 0.0182272 
           Par4 |      0.574839 +/- 0.153616 
           Par5 | 5.28878e-09 +/- 0.00103113 
           Par6 |        4.63691 +/- 3.15765 
           Par7 |    -0.122785 +/- 0.0342752 
           Par8 |        3.99156 +/- 1.84019 
           Par9 |     0.158834 +/- 0.0200747 


