
 TF_Par_C_13_24 |                  Parameters 
           Par0 |         7.05326 +/- 5.06669 
           Par1 |    -0.0627984 +/- 0.0304313 
           Par2 |         11.3285 +/- 3.60569 
           Par3 |     0.0591973 +/- 0.0216189 
           Par4 |   9.01591e-09 +/- 0.0134679 
           Par5 | 0.000150313 +/- 9.58882e-05 
           Par6 |         224.658 +/- 65.8076 
           Par7 |      -0.967171 +/- 0.196724 
           Par8 |         51.4543 +/- 17.8504 
           Par9 |    7.76976e-09 +/- 0.209385 


