
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        2.21301 +/- 0.976822 
             Par1 |    -0.0303267 +/- 0.0125705 
             Par2 |         2.42498 +/- 1.20723 
             Par3 |      0.101172 +/- 0.0153137 
             Par4 |    0.00915162 +/- 0.0163183 
             Par5 | 0.000316177 +/- 0.000239037 
             Par6 |         12.5551 +/- 13.6678 
             Par7 |    -0.0950742 +/- 0.0888494 
             Par8 |         28.9166 +/- 6.15114 
             Par9 |      0.139959 +/- 0.0420252 


