
 TF_Par_B_00_13 |                 Parameters 
           Par0 |        1.90409 +/- 1.91969 
           Par1 |   -0.0460931 +/- 0.0263181 
           Par2 |        4.74688 +/- 2.05638 
           Par3 |    0.0635421 +/- 0.0354771 
           Par4 |    8.1168e-09 +/- 0.015387 
           Par5 | 0.00132271 +/- 0.000513351 
           Par6 |       -21.6719 +/- 12.5773 
           Par7 |    0.0315443 +/- 0.0698539 
           Par8 |        38.9422 +/- 5.72243 
           Par9 |  1.31761e-07 +/- 0.0393858 


