
 TF_Par_B_00_24 |                  Parameters 
           Par0 |         3.21151 +/- 1.43653 
           Par1 |    -0.0684469 +/- 0.0179446 
           Par2 |         2.76547 +/- 1.23411 
           Par3 |      0.116851 +/- 0.0176095 
           Par4 |    0.00952537 +/- 0.0173755 
           Par5 | 0.000248516 +/- 0.000259965 
           Par6 |          28.014 +/- 27.7484 
           Par7 |       -0.177552 +/- 0.13601 
           Par8 |         27.9036 +/- 11.9427 
           Par9 |      0.214108 +/- 0.0918434 


