
 TF_Par_C_00_24 |                  Parameters 
           Par0 |        3.52155 +/- 0.484655 
           Par1 |   -0.0526165 +/- 0.00601056 
           Par2 |        3.22839 +/- 0.438542 
           Par3 |       0.10706 +/- 0.0056617 
           Par4 |    0.0185747 +/- 0.00614059 
           Par5 | 3.87567e-05 +/- 4.26561e-05 
           Par6 |         11.1245 +/- 9.13948 
           Par7 |    -0.0373445 +/- 0.0825417 
           Par8 |         13.1417 +/- 6.31964 
           Par9 |      0.378085 +/- 0.0690719 


