
 TF_Par_G_00_13 |                  Parameters 
           Par0 |        2.07598 +/- 0.261899 
           Par1 |   -0.0680086 +/- 0.00369417 
           Par2 |        3.84991 +/- 0.213896 
           Par3 |    0.0846768 +/- 0.00294225 
           Par4 |    0.0207104 +/- 0.00302389 
           Par5 | 3.61521e-05 +/- 2.85517e-05 
           Par6 |         5.27315 +/- 3.98538 
           Par7 |      0.142117 +/- 0.0453586 
           Par8 |         13.9313 +/- 2.05338 
           Par9 |      0.313004 +/- 0.0268694 


