
 TF_Par_UDS_00_13 |                Parameters 
             Par0 |        3.51433 +/- 2.8851 
             Par1 |   0.0850417 +/- 0.0392382 
             Par2 |       7.98178 +/- 1.17548 
             Par3 |     0.318484 +/- 0.019346 
             Par4 |   0.000215374 +/- 1.76782 
             Par5 |    0.509886 +/- 0.0518248 
             Par6 |      2.71305 +/- 0.191587 
             Par7 | -0.0177358 +/- 0.00250622 
             Par8 |      2.79371 +/- 0.172719 
             Par9 |  0.0919316 +/- 0.00208742 


