
 TF_Par_UDS_00_24 |                  Parameters 
             Par0 |        3.26996 +/- 0.154418 
             Par1 |    -0.017961 +/- 0.00171577 
             Par2 |        3.21185 +/- 0.135761 
             Par3 |    0.0960927 +/- 0.00148105 
             Par4 |    0.0237832 +/- 0.00182116 
             Par5 | 6.05705e-14 +/- 8.56623e-07 
             Par6 |         15.2052 +/- 2.32381 
             Par7 |     0.0371059 +/- 0.0225215 
             Par8 |         11.7736 +/- 1.14345 
             Par9 |      0.296155 +/- 0.0125878 


